AGEP,SEX,PINCP,PUMA,state
30,1,4300,03231,42
33,1,0,03230,42
33,1,10100,03227,42
78,1,1300,03227,42
33,1,0,03225,42
13,1,-19999,03230,42
34,1,1500,03228,42
31,1,0,03231,42
19,2,1400,03230,42
21,2,2200,03229,42
20,2,5000,03229,42
80,1,31000,03222,42
20,2,1100,03221,42
59,1,13800,03221,42
43,1,10100,03225,42
19,1,4000,03225,42
83,2,0,03216,42
18,1,6900,03228,42
23,1,2030,03227,42
19,1,10000,03229,42
19,2,0,03229,42
22,1,0,03223,42
47,2,14400,03225,42
36,1,20000,03225,42
60,1,10100,03221,42
64,1,13000,03228,42
19,2,0,03229,42
43,1,0,03223,42
18,1,1600,03228,42
59,1,0,03216,42
21,1,0,03230,42
18,2,2200,03228,42
77,2,18000,03216,42
57,1,17200,03216,42
20,2,500,03228,42
85,2,18800,03229,42
20,2,500,03216,42
47,1,0,03222,42
62,1,0,03223,42
85,2,12000,03230,42
18,2,0,03229,42
64,1,13000,03228,42
18,1,0,03227,42
31,1,32500,03231,42
19,1,1000,03228,42
18,2,7000,03229,42
35,1,20000,03225,42
30,1,0,03223,42
49,1,8200,03225,42
21,1,10000,03228,42
19,1,1500,03229,42
19,1,0,03227,42
66,2,0,03222,42
20,2,2800,03227,42
19,2,3000,03228,42
95,2,8900,03229,42
19,2,460,03229,42
33,1,10100,03225,42
83,2,9700,03222,42
18,1,35000,03228,42
88,2,8900,03222,42
70,2,7200,03227,42
61,1,13000,03222,42
31,1,0,03229,42
79,2,17600,03227,42
19,1,0,03229,42
33,1,10100,03227,42
19,1,2200,03227,42
19,1,0,03229,42
70,1,17600,03222,42
95,2,13000,03227,42
87,1,45000,03229,42
37,2,9000,03216,42
59,1,14100,03216,42
95,1,41700,03221,42
83,2,0,03231,42
19,2,2700,03230,42
19,1,0,03229,42
38,1,1300,03225,42
23,1,0,03230,42
33,1,0,03225,42
87,1,45000,03227,42
19,1,0,03227,42
75,2,10500,03216,42
18,2,7000,03228,42
14,1,-19999,03228,42
74,2,13000,03229,42
86,2,17600,03222,42
18,2,6000,03228,42
19,2,3000,03229,42
46,1,360,03221,42
19,1,0,03229,42
18,1,0,03229,42
71,2,2700,03228,42
20,2,880,03229,42
77,2,13000,03216,42
74,2,0,03216,42
19,1,0,03229,42
47,2,14400,03221,42
63,1,13000,03221,42
19,2,0,03227,42
19,2,7000,03228,42
20,1,9000,03229,42
22,1,13100,03230,42
20,2,5000,03229,42
32,2,10100,03228,42
18,2,10900,03228,42
19,1,0,03228,42
18,1,500,03229,42
28,2,55000,03230,42
7,2,-19999,03230,42
26,1,0,03223,42
37,1,0,03230,42
19,2,1400,03227,42
59,1,14100,03216,42
75,2,27000,03216,42
85,2,27900,03229,42
19,1,4000,03229,42
49,2,0,03227,42
21,1,0,03230,42
45,2,0,03216,42
20,1,1000,03216,42
48,1,24000,03228,42
18,1,1500,03227,42
40,2,10980,03216,42
18,1,0,03229,42
83,2,9700,03224,42
22,1,4000,03229,42
44,1,0,03223,42
22,2,7000,03224,42
66,2,9500,03227,42
48,1,24000,03228,42
77,2,14700,03221,42
37,1,0,03223,42
22,1,14000,03229,42
18,2,0,03229,42
89,2,26800,03222,42
30,1,10100,03223,42
95,1,0,03227,42
18,2,6250,03228,42
35,1,20000,03227,42
21,2,2200,03229,42
18,1,4550,03229,42
19,2,0,03229,42
28,1,1200,03231,42
88,1,92400,03229,42
19,2,2000,03228,42
19,2,7000,03229,42
36,1,0,03221,42
23,1,7000,03229,42
14,1,-19999,03224,42
18,2,5000,03228,42
1,1,-19999,03216,42
22,1,0,03224,42
40,1,0,03225,42
30,1,690,03223,42
62,1,12100,03224,42
41,1,0,03223,42
20,2,540,03225,42
95,2,18000,03228,42
22,2,5000,03229,42
47,1,0,03230,42
22,2,8000,03229,42
83,2,0,03216,42
45,2,0,03230,42
20,2,1100,03229,42
80,2,9500,03222,42
85,2,13000,03230,42
33,1,0,03230,42
21,2,2200,03229,42
19,1,0,03229,42
19,2,0,03229,42
22,1,0,03230,42
20,1,2030,03230,42
30,1,10100,03231,42
33,1,0,03221,42
40,1,25000,03223,42
20,1,0,03223,42
1,1,-19999,03222,42
19,1,3000,03216,42
37,1,20000,03216,42
57,1,30000,03228,42
32,1,0,03223,42
21,1,10000,03229,42
19,1,1000,03223,42
59,1,0,03221,42
30,1,10100,03216,42
80,2,8900,03221,42
18,1,0,03229,42
19,1,0,03229,42
19,1,6200,03228,42
63,1,13000,03224,42
60,1,13000,03224,42
20,1,8000,03227,42
28,1,12700,03216,42
19,2,0,03229,42
18,2,0,03229,42
20,2,880,03216,42
31,1,0,03225,42
60,1,13800,03221,42
32,2,10100,03228,42
86,2,17600,03221,42
20,2,5000,03229,42
73,2,0,03225,42
77,1,9400,03224,42
22,2,8000,03228,42
19,1,0,03229,42
21,1,20000,03229,42
74,2,13000,03222,42
1,1,-19999,03227,42
82,2,0,03216,42
19,1,7000,03229,42
68,1,0,03228,42
79,2,9500,03231,42
18,2,0,03229,42
19,2,12000,03216,42
33,1,10100,03216,42
89,2,26800,03231,42
19,2,0,03227,42
18,2,12000,03229,42
62,1,0,03230,42
19,2,1400,03229,42
7,2,-19999,03229,42
18,1,0,03227,42
37,1,0,03216,42
77,2,18000,03227,42
87,1,45000,03223,42
21,1,0,03216,42
1,1,-19999,03222,42
18,1,2000,03228,42
18,2,0,03228,42
38,1,1300,03231,42
19,2,1400,03224,42
69,2,6100,03228,42
38,1,26000,03223,42
37,1,0,03223,42
20,1,0,03223,42
18,2,0,03230,42
30,1,10100,03216,42
18,2,2200,03227,42
18,1,1500,03229,42
20,2,5000,03227,42
20,1,5000,03229,42
20,1,14000,03229,42
9,2,-19999,03230,42
75,2,27000,03222,42
19,1,0,03227,42
88,2,13200,03222,42
33,1,10100,03231,42
18,2,7000,03229,42
18,2,0,03229,42
48,1,24000,03229,42
66,1,5000,03229,42
79,2,18200,03224,42
75,2,10500,03229,42
20,2,5000,03229,42
20,1,4500,03229,42
83,2,9700,03227,42
54,1,0,03225,42
83,2,9700,03221,42
22,2,880,03229,42
14,1,-19999,03225,42
77,2,0,03224,42
18,2,5400,03230,42
31,1,12000,03229,42
76,2,36000,03227,42
23,2,0,03228,42
20,1,1000,03229,42
48,1,24000,03223,42
19,1,1300,03224,42
19,2,1000,03229,42
18,2,2400,03229,42
59,1,17200,03225,42
2,1,-19999,03216,42
21,2,2200,03225,42
47,1,0,03230,42
19,2,0,03228,42
18,2,0,03229,42
20,2,4300,03230,42
75,2,10500,03231,42
19,2,0,03224,42
18,1,500,03228,42
23,2,0,03216,42
63,1,0,03227,42
30,1,-1600,03223,42
29,1,0,03223,42
37,1,19070,03228,42
19,1,0,03228,42
66,2,7000,03227,42
13,1,-19999,03227,42
18,2,5400,03229,42
50,2,25600,03216,42
82,2,0,03222,42
68,1,0,03228,42
19,2,1000,03229,42
23,1,2030,03216,42
22,2,2800,03229,42
75,2,27000,03216,42
19,1,4000,03229,42
18,2,22000,03228,42
23,2,0,03230,42
71,2,0,03228,42
18,2,5400,03229,42
61,2,19200,03224,42
20,1,60300,03216,42
32,2,10100,03230,42
20,1,7000,03216,42
